,2019T4,2019T3,2019T2,2019T1,2018T4,2018T3,2018T2,2018T1,2017T4,2017T3,2017T2,2017T1,2016T4,2016T3,2016T2,2016T1,2015T4,2015T3,2015T2,2015T1,2014T4,2014T3,2014T2,2014T1,2013T4,2013T3,2013T2,2013T1,2012T4,2012T3,2012T2,2012T1,2011T4,2011T3,2011T2,2011T1,2010T4,2010T3,2010T2,2010T1,2009T4,2009T3,2009T2,2009T1,2008T4,2008T3,2008T2,2008T1,2007T4,2007T3,2007T2,2007T1,2006T4,2006T3,2006T2,2006T1,2005T4,2005T3,2005T2,2005T1,2004T4,2004T3,2004T2,2004T1,2003T4,2003T3,2003T2,2003T1,2002T4,2002T3,2002T2,2002T1,2019T4,2019T3,2019T2,2019T1,2018T4,2018T3,2018T2,2018T1,2017T4,2017T3,2017T2,2017T1,2016T4,2016T3,2016T2,2016T1,2015T4,2015T3,2015T2,2015T1,2014T4,2014T3,2014T2,2014T1,2013T4,2013T3,2013T2,2013T1,2012T4,2012T3,2012T2,2012T1,2011T4,2011T3,2011T2,2011T1,2010T4,2010T3,2010T2,2010T1,2009T4,2009T3,2009T2,2009T1,2008T4,2008T3,2008T2,2008T1,2007T4,2007T3,2007T2,2007T1,2006T4,2006T3,2006T2,2006T1,2005T4,2005T3,2005T2,2005T1,2004T4,2004T3,2004T2,2004T1,2003T4,2003T3,2003T2,2003T1,2002T4,2002T3,2002T2,2002T1,2019T4,2019T3,2019T2,2019T1,2018T4,2018T3,2018T2,2018T1,2017T4,2017T3,2017T2,2017T1,2016T4,2016T3,2016T2,2016T1,2015T4,2015T3,2015T2,2015T1,2014T4,2014T3,2014T2,2014T1,2013T4,2013T3,2013T2,2013T1,2012T4,2012T3,2012T2,2012T1,2011T4,2011T3,2011T2,2011T1,2010T4,2010T3,2010T2,2010T1,2009T4,2009T3,2009T2,2009T1,2008T4,2008T3,2008T2,2008T1,2007T4,2007T3,2007T2,2007T1,2006T4,2006T3,2006T2,2006T1,2005T4,2005T3,2005T2,2005T1,2004T4,2004T3,2004T2,2004T1,2003T4,2003T3,2003T2,2003T1,2002T4,2002T3,2002T2,2002T1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    48 Bizkaia,55,42,55,7,56,7,55,93,56,22,55,29,55,91,55,51,56,2,56,87,56,39,56,33,56,84,57,17,56,12,56,14,56,9,55,19,55,9,57,12,57,69,55,67,56,58,56,38,57,2,56,4,56,94,58,9,58,91,57,7,57,7,57,2,58,23,58,9,57,8,57,89,58,57,1,58,4,56,9,55,97,56,35,56,45,56,67,56,82,57,6,56,9,55,72,56,16,55,98,56,72,56,74,58,18,57,71,57,21,57,16,56,79,55,53,56,58,56,7,56,25,55,36,54,85,54,9,54,77,54,92,54,5,53,38,53,7,53,38,52,49,53,16,10,58,10,87,9,74,11,23,11,47,10,88,11,63,12,61,12,34,13,42,12,54,12,5,13,75,14,5,13,76,14,83,14,79,14,85,16,99,17,31,18,12,15,98,16,26,18,9,17,61,17,55,17,25,18,64,17,69,18,2,16,44,15,23,15,14,13,13,9,13,6,12,91,11,36,12,34,11,83,13,26,13,6,12,3,11,69,9,77,8,1,6,78,7,2,6,64,7,64,7,37,7,7,42,7,51,8,21,8,8,7,12,8,2,9,7,9,31,10,73,11,62,11,67,13,16,11,74,11,7,11,64,11,33,11,37,11,47,10,89,11,48,49,56,49,64,50,61,49,64,49,77,49,27,49,4,48,51,49,11,49,23,49,32,49,29,49,3,48,88,48,4,47,81,47,79,46,99,46,4,47,24,47,24,46,77,47,38,45,73,47,12,46,5,47,12,47,26,48,49,47,19,48,22,48,34,49,5,49,88,49,76,50,1,50,51,50,61,51,19,49,45,48,54,49,49,66,50,4,51,27,52,44,53,4,51,81,52,43,51,7,52,53,52,77,53,86,53,38,52,51,52,13,52,75,51,8,51,9,50,85,50,22,48,92,48,45,47,68,48,34,48,84,48,16,47,33,47,59,47,26,46,78,47,6,,,,,
    09 Burgos,57,58,57,6,55,81,57,25,58,24,57,88,58,94,57,65,56,8,57,83,57,32,57,4,59,21,60,37,61,14,59,65,58,56,57,31,58,12,58,24,59,24,59,63,59,99,59,5,58,33,58,8,57,61,58,91,58,62,59,79,59,42,57,55,56,62,58,37,58,69,58,17,59,25,58,29,59,14,58,15,58,34,58,52,58,18,59,48,60,95,60,5,60,18,60,76,59,37,59,22,56,93,56,56,57,82,57,45,56,56,6,56,4,56,5,55,32,54,3,52,67,54,22,53,95,55,44,56,5,55,53,54,99,54,52,53,99,53,99,53,52,52,49,9,34,9,81,9,34,11,35,10,96,10,14,8,92,11,54,11,8,10,25,10,66,10,22,10,47,8,74,12,34,15,38,17,72,16,12,18,74,18,96,18,76,18,8,17,95,18,11,19,8,19,6,20,91,22,6,17,84,16,42,17,77,17,21,14,97,13,71,14,35,16,87,16,35,14,38,16,61,14,15,14,55,12,23,13,44,10,45,10,59,8,14,9,84,8,7,7,45,6,78,5,94,5,92,5,5,6,32,7,1,9,43,6,47,5,49,6,72,8,54,7,3,6,95,9,41,10,29,9,25,8,49,7,54,9,56,10,1,7,4,7,59,5,73,52,2,51,95,50,6,50,75,51,86,52,1,53,68,51,50,51,51,9,51,21,51,21,53,1,55,9,53,59,50,47,48,19,48,7,47,23,47,2,48,13,48,85,49,22,48,72,47,2,47,59,45,56,45,6,48,16,49,97,48,86,47,65,48,15,50,36,50,27,48,36,49,57,49,91,49,32,49,93,49,85,51,36,50,36,53,27,54,49,55,57,54,25,55,86,54,94,55,2,53,55,53,21,54,65,53,82,52,8,50,77,52,75,53,4,51,61,49,67,48,82,50,46,48,87,49,73,50,87,50,82,50,84,49,31,48,58,50,49,46,49,48,,,,
    10 Cáceres,54,81,54,93,54,81,53,39,53,42,54,98,54,51,53,71,52,96,52,34,53,6,53,4,52,55,53,28,52,91,53,54,53,46,54,83,55,42,54,85,55,4,56,21,54,61,54,4,54,77,56,53,54,73,53,66,53,4,54,26,52,31,51,91,52,58,51,56,50,92,51,37,51,2,51,47,52,63,50,7,49,68,51,25,50,39,50,85,50,28,51,64,52,5,51,39,52,83,51,14,51,2,51,79,51,72,51,34,50,75,50,79,50,94,50,97,50,94,51,7,49,8,51,17,50,12,49,67,50,34,51,16,49,15,49,67,49,45,49,93,48,65,48,88,21,48,18,87,19,63,19,8,21,3,19,37,20,6,21,2,21,75,22,22,22,48,24,71,22,12,21,43,23,89,26,74,24,68,26,61,27,44,29,73,27,3,26,19,26,86,28,91,31,26,33,2,32,92,34,62,31,26,32,69,32,39,30,81,24,56,20,61,19,68,21,14,19,99,21,69,21,1,22,3,18,38,18,83,19,36,20,86,15,97,14,27,12,21,15,56,13,87,10,2,10,6,10,71,10,16,10,55,11,11,12,79,12,86,12,15,13,12,13,67,13,2,16,32,16,6,17,44,18,2,18,25,18,28,20,52,18,86,18,26,17,52,18,19,43,4,44,57,44,5,42,82,42,4,44,33,43,57,42,32,41,44,40,71,41,55,39,94,40,93,41,86,40,27,39,22,40,27,40,24,40,21,38,54,40,1,41,49,39,95,38,42,37,65,37,87,36,71,35,9,36,71,36,53,35,37,35,91,39,66,40,93,40,9,40,51,40,82,40,31,41,57,39,53,40,55,41,6,40,64,40,24,42,25,44,27,45,69,43,4,45,5,46,1,46,5,46,25,46,46,45,93,45,11,44,29,44,39,44,78,44,25,44,9,43,32,42,83,41,8,41,1,41,27,41,82,40,17,39,48,40,13,40,81,40,12,39,99,
    11 Cádiz,54,14,55,83,55,33,53,73,54,3,54,82,55,41,54,47,54,92,56,59,55,59,56,56,56,45,57,19,57,64,56,5,57,29,58,22,57,24,57,55,56,85,58,45,58,39,58,8,56,75,57,93,57,27,56,86,58,22,58,98,57,6,56,71,57,43,58,73,57,32,56,37,56,88,57,58,57,33,57,58,56,63,56,67,56,65,56,61,56,9,56,97,56,58,55,82,55,64,55,91,55,7,54,48,53,14,54,67,54,83,55,55,41,54,38,54,26,53,88,53,81,53,11,53,62,52,16,51,39,51,66,52,84,52,65,52,99,53,28,54,84,52,7,24,7,23,77,24,34,26,8,27,35,24,72,26,86,31,25,30,1,27,61,29,63,33,87,33,86,31,24,35,31,37,16,36,73,37,18,37,32,42,5,42,34,41,26,42,4,43,23,40,47,37,5,39,7,41,24,39,84,35,46,33,93,36,28,35,3,31,1,31,53,32,53,31,26,29,44,29,67,31,91,28,49,26,17,26,3,26,2,21,8,18,95,18,1,18,9,17,35,14,1,13,51,15,12,13,74,13,1,17,38,17,17,17,41,16,83,17,2,19,12,21,83,22,38,23,2,23,88,25,37,19,28,22,59,25,77,26,75,27,11,26,61,27,83,40,77,42,56,41,86,39,33,39,45,41,27,40,53,37,45,38,44,40,96,39,12,37,4,37,34,39,32,37,29,35,51,36,25,36,57,35,88,33,35,32,78,34,33,33,63,32,97,33,79,36,47,34,54,33,41,35,3,38,7,38,6,36,13,37,31,40,52,39,25,38,3,39,1,40,63,40,32,39,21,40,5,41,84,41,75,41,78,43,86,46,18,46,34,45,72,45,99,48,2,48,17,46,24,45,83,47,51,45,3,45,55,45,77,45,22,44,93,43,58,42,6,41,22,41,28,39,7,38,35,41,7,40,9,39,8,38,82,38,84,40,25,38,3,,
    39 Cantabria,55,73,55,19,54,46,54,84,54,29,55,1,55,15,54,72,55,85,55,78,55,87,55,64,56,2,56,46,56,16,55,67,55,77,56,49,55,89,56,19,56,16,57,35,56,31,56,14,56,75,56,22,55,66,55,94,57,8,56,51,56,41,57,52,56,76,57,2,56,27,55,52,55,84,55,7,56,9,56,7,56,15,57,12,57,1,57,64,57,12,57,39,57,16,57,34,56,7,56,99,56,56,56,28,55,86,55,95,55,1,55,2,55,53,55,42,54,63,54,2,53,44,53,51,53,5,53,33,53,69,53,45,52,63,51,5,51,63,50,97,50,71,49,82,11,18,8,73,9,1,12,2,9,68,8,99,11,57,12,46,13,49,12,67,14,3,14,7,12,89,12,53,15,31,18,9,17,71,16,19,18,15,18,54,18,42,19,4,19,26,20,95,19,81,18,84,22,28,20,86,19,19,15,79,17,42,18,77,15,92,14,13,14,88,16,27,14,67,12,7,13,73,14,33,12,7,11,6,11,67,12,57,8,81,6,32,7,1,6,41,4,72,5,61,6,41,7,11,5,87,6,4,6,53,7,6,8,1,7,7,9,11,9,83,11,1,9,16,10,55,11,44,10,42,10,86,10,29,10,7,10,58,10,25,9,73,9,54,49,5,50,37,49,55,48,15,49,4,50,14,48,77,47,9,48,32,48,72,48,3,47,81,48,95,49,39,47,57,45,15,45,89,47,35,45,75,45,77,45,82,46,43,45,47,44,38,45,51,45,62,43,26,44,27,46,13,47,59,46,58,46,73,47,72,49,12,47,9,46,49,47,65,48,97,49,9,48,4,49,2,50,8,50,44,50,4,52,8,53,76,53,1,53,66,54,2,53,79,52,94,52,28,52,58,52,37,51,51,51,3,51,8,51,5,49,65,48,72,47,5,48,61,47,86,47,23,48,9,47,64,47,22,45,91,46,17,45,75,45,78,45,7,
    12 Castellón/Castelló,59,38,58,52,56,97,57,44,57,74,57,93,58,32,57,73,57,91,57,7,56,9,56,1,57,33,56,73,56,23,57,16,58,1,58,75,59,91,60,3,60,53,59,7,60,27,60,41,60,24,61,2,59,82,59,99,60,53,60,7,59,96,59,49,60,12,60,53,60,34,61,19,61,29,62,2,61,27,61,84,62,63,62,28,62,64,62,14,62,74,62,27,63,13,62,71,62,8,61,62,60,75,60,34,60,77,60,58,61,8,61,18,62,69,61,98,60,2,60,9,59,32,58,57,3,57,79,58,85,57,36,57,1,58,37,57,28,56,58,56,27,56,6,14,29,12,1,14,25,14,46,15,11,14,49,15,68,16,82,14,37,15,42,17,58,19,52,17,11,19,66,19,79,21,43,19,53,20,94,23,85,25,69,24,62,27,84,27,66,28,21,27,33,27,75,30,75,30,67,26,74,27,15,27,2,27,67,25,85,25,73,26,2,26,8,23,47,23,57,24,28,24,29,21,18,20,44,19,38,17,54,14,29,11,12,9,35,7,98,7,5,6,3,7,27,6,59,6,62,5,38,6,5,6,53,6,56,5,96,8,81,8,58,7,1,8,82,9,2,9,14,7,99,5,98,6,66,6,42,5,59,4,81,5,3,5,6,50,89,51,5,48,85,49,14,49,2,49,53,49,17,48,2,49,59,48,27,46,23,45,7,47,52,45,58,45,1,44,91,46,76,46,44,45,62,44,61,45,63,43,8,43,6,43,37,43,77,44,8,41,43,41,59,44,34,43,76,43,65,43,3,44,58,44,96,44,53,45,23,46,91,47,4,46,39,46,82,49,36,49,55,50,5,51,24,53,77,55,35,57,23,57,7,57,7,57,74,56,34,56,36,56,75,57,32,57,11,57,18,58,58,58,29,54,73,54,93,55,11,52,89,51,89,52,51,54,14,53,93,53,22,54,62,54,8,53,86,53,29,53,43,,
    13 Ciudad Real,56,39,55,89,55,72,55,77,54,98,54,29,54,99,56,16,56,16,55,19,56,15,56,3,55,95,55,75,55,88,55,47,55,2,55,54,55,22,55,1,56,13,57,93,56,58,56,51,56,14,56,11,54,73,55,81,55,3,55,99,55,85,55,86,56,46,55,12,56,13,55,62,55,74,55,88,57,13,56,86,56,71,55,12,56,28,54,97,55,11,55,26,55,9,53,34,52,65,54,4,53,96,52,84,52,91,53,79,52,82,52,84,52,33,53,22,52,1,51,26,51,61,50,66,48,22,47,42,49,92,50,63,49,54,49,22,48,17,48,39,47,78,47,83,19,34,18,38,17,82,17,5,16,82,18,75,21,87,23,1,23,3,22,26,26,33,25,76,25,9,24,11,26,3,29,43,28,95,29,98,32,25,33,98,33,39,32,63,32,64,33,47,30,3,28,89,30,79,32,45,30,74,30,9,32,62,30,82,27,24,23,14,22,91,22,7,22,7,20,4,23,38,23,42,21,17,18,9,20,15,18,98,15,91,14,5,12,46,11,15,9,33,9,25,9,22,9,28,10,13,9,86,11,51,12,21,10,2,9,88,11,38,11,32,12,8,9,4,8,55,8,62,10,85,10,66,10,75,11,95,8,38,8,41,9,41,11,38,45,49,45,62,45,79,46,1,45,73,44,12,42,96,43,24,43,8,42,9,41,37,41,8,41,91,42,31,41,19,39,15,39,1,38,89,37,41,36,31,37,39,39,2,38,11,37,6,39,28,39,9,37,88,37,7,38,3,39,14,37,63,38,64,41,8,42,37,43,27,43,35,43,43,44,68,43,77,43,54,44,71,44,7,44,94,44,53,46,34,47,25,48,22,47,4,47,74,49,4,48,98,47,94,47,55,48,49,46,74,46,39,47,9,47,97,46,9,45,45,45,38,45,9,44,1,43,33,44,51,45,23,44,21,43,33,44,14,44,32,43,29,42,39,
    14 Córdoba,56,78,57,36,56,77,56,31,55,79,55,83,57,53,57,3,56,8,58,11,57,43,58,16,57,77,58,95,58,34,57,87,57,5,56,57,57,18,56,56,57,27,56,37,56,22,57,26,57,97,57,38,58,1,57,47,57,46,57,3,57,3,59,11,59,16,57,76,58,91,58,36,58,46,57,66,58,25,58,76,57,87,58,8,58,31,58,22,56,76,56,23,55,81,56,28,55,19,53,76,54,42,55,39,54,58,53,35,52,89,54,3,52,77,50,42,50,71,52,59,55,48,54,91,52,74,53,24,51,81,52,72,50,7,49,75,49,3,49,45,49,7,49,3,23,7,25,28,22,21,21,5,22,47,25,4,25,63,25,45,27,30,21,27,94,27,53,29,42,32,59,30,15,28,82,29,7,30,99,29,15,30,11,33,88,35,73,33,35,31,6,36,68,37,16,33,3,33,51,34,86,37,44,33,62,32,67,31,36,33,5,33,25,28,38,28,7,31,36,28,83,23,35,25,96,27,75,27,16,23,14,20,19,17,4,15,45,12,25,14,69,12,95,13,53,13,95,15,39,14,42,14,91,13,22,15,67,15,84,13,64,14,23,20,63,23,21,20,51,18,99,18,99,25,48,22,39,17,48,19,57,24,23,22,12,19,7,43,32,42,85,44,16,44,45,43,26,41,65,42,78,42,51,41,46,40,56,41,38,42,15,40,78,39,74,40,75,41,19,40,11,39,4,40,51,39,53,37,87,36,23,37,47,39,17,36,71,36,6,38,76,38,21,37,43,35,85,37,85,39,8,40,61,38,41,39,33,41,8,41,68,39,58,41,46,45,4,42,85,41,96,42,47,44,75,45,3,46,45,47,19,49,38,47,8,46,8,47,5,47,67,46,18,45,66,45,47,12,44,5,42,44,43,79,45,11,44,3,42,17,41,92,43,13,41,97,39,29,39,35,41,5,39,65,37,46,38,22,39,68,,,
    15 Coruña A,54,75,55,9,54,79,54,62,54,51,55,2,55,1,54,33,54,53,55,12,54,95,54,57,55,21,55,25,54,57,54,25,54,46,54,72,54,74,54,99,54,54,55,53,55,45,54,84,54,88,54,97,55,64,55,67,56,4,56,31,55,9,56,47,55,97,55,61,55,66,55,66,55,26,55,16,54,72,55,9,55,91,55,76,56,77,56,75,56,8,56,22,54,95,53,93,54,38,54,74,54,92,53,23,53,38,54,11,53,54,53,96,53,74,54,53,53,6,53,53,54,14,53,37,53,4,53,61,53,79,53,73,52,86,52,44,51,96,51,3,49,57,50,47,10,29,10,52,9,89,10,11,10,7,10,9,13,44,13,88,13,47,13,32,14,42,15,44,14,49,15,41,15,64,16,11,15,81,16,7,17,98,19,77,18,41,18,73,20,99,21,69,19,97,20,8,20,36,20,31,19,91,17,72,18,47,17,42,15,9,15,95,15,95,15,51,14,44,13,48,14,12,13,88,11,55,11,21,11,86,11,26,9,38,8,31,8,73,9,25,8,39,6,75,8,22,9,53,8,13,6,88,7,93,9,55,9,7,8,2,10,68,10,58,12,69,14,22,15,32,15,8,15,5,14,29,12,9,12,33,12,33,12,37,12,19,14,52,49,12,49,3,49,37,49,1,48,68,49,18,47,7,46,79,47,19,47,78,47,2,46,14,47,21,46,74,46,3,45,51,45,85,45,93,44,89,44,12,44,5,45,13,43,81,42,94,43,92,43,93,44,31,44,37,45,17,46,33,45,57,46,63,47,8,46,74,46,78,47,3,47,28,47,72,47,47,45,49,45,49,51,50,4,50,36,50,82,51,55,50,15,48,95,49,82,51,5,50,41,48,16,49,4,50,39,49,3,48,81,48,87,50,6,47,88,47,87,47,27,45,78,45,22,45,14,45,45,46,5,46,4,45,97,45,56,44,72,43,53,43,14,
    16 Cuenca,56,1,56,69,56,13,56,6,57,33,54,85,54,57,54,55,81,54,28,54,77,56,79,56,28,57,96,55,24,55,96,53,89,52,75,53,22,53,62,52,82,53,27,55,4,56,7,54,89,55,72,54,92,53,12,52,21,53,85,52,6,54,1,52,33,51,96,51,48,51,64,55,55,53,89,51,55,51,93,52,59,53,14,52,91,51,71,51,75,51,52,52,74,51,29,50,97,51,48,50,16,50,79,51,21,50,89,49,34,48,91,47,64,47,77,49,7,47,44,47,21,48,1,45,75,46,7,45,74,46,85,46,49,46,26,45,82,46,14,45,79,44,9,14,61,13,93,12,91,10,81,13,69,16,5,16,2,15,21,17,18,13,6,15,73,17,1,14,15,18,93,19,19,19,79,18,78,22,4,23,82,25,82,27,16,28,32,27,4,29,13,26,12,31,1,29,83,28,52,25,8,20,95,22,27,24,49,19,68,20,89,17,9,19,66,19,98,19,16,18,61,19,66,16,97,14,31,16,38,16,27,9,8,6,64,8,65,6,78,3,9,6,4,7,56,5,17,6,49,6,51,6,73,8,6,7,72,4,67,6,74,6,57,9,97,8,23,6,99,9,67,7,35,8,45,9,49,11,5,10,96,10,17,8,9,7,44,47,9,48,79,48,89,50,49,48,45,8,45,73,45,79,46,22,46,89,46,16,47,8,48,32,46,99,44,64,44,88,43,77,41,12,40,54,39,78,38,47,38,19,39,96,39,74,40,55,38,44,38,54,37,97,38,74,42,57,40,89,40,85,42,3,41,1,42,27,41,49,44,45,43,56,41,95,41,72,43,66,45,54,44,24,43,3,46,68,48,1,48,18,47,81,48,98,48,18,46,37,48,17,47,88,47,57,46,2,44,97,43,96,45,54,46,35,44,33,42,5,44,14,42,55,41,62,42,37,42,89,42,8,40,94,40,8,41,44,41,72,40,81,,,
    20 Gipuzkoa,56,15,55,46,56,26,56,43,55,73,55,74,57,64,56,76,56,5,55,3,54,99,54,74,55,38,57,51,57,63,57,6,56,6,56,58,56,65,56,16,56,38,55,45,56,21,55,88,56,45,55,11,56,46,56,23,55,34,56,47,59,5,58,88,59,85,60,4,59,33,59,17,57,64,58,46,57,76,58,73,59,81,58,89,58,98,58,4,59,57,61,4,59,9,60,3,60,42,60,41,59,77,58,83,59,34,59,6,58,97,57,97,59,7,58,37,57,78,57,56,56,49,57,12,57,16,57,61,57,81,57,6,56,51,56,55,56,9,56,91,56,33,55,45,7,53,6,19,7,13,8,3,7,56,7,75,7,55,7,93,8,43,8,73,8,18,10,72,9,95,10,35,10,23,10,5,10,16,12,22,14,56,13,74,14,5,13,41,15,61,13,97,13,8,14,31,14,11,14,24,13,24,13,6,13,32,11,72,10,86,10,89,9,79,9,17,7,67,8,22,7,52,8,71,9,15,9,42,9,36,9,2,6,74,4,81,4,74,5,5,5,36,4,34,4,74,5,93,6,43,5,27,5,59,5,74,5,36,6,13,5,39,5,9,6,48,7,9,6,48,7,14,7,24,5,91,5,5,7,11,6,89,7,7,6,93,7,14,51,92,52,2,52,25,51,9,51,52,51,42,53,29,52,26,51,32,50,47,50,49,48,87,49,87,51,55,51,73,51,6,50,85,49,67,48,4,48,45,48,46,48,2,47,43,48,7,48,66,47,22,48,5,48,22,48,1,48,79,51,19,51,98,53,35,53,5,53,53,53,75,53,22,53,65,53,42,53,62,54,34,53,34,53,46,53,2,55,56,58,1,57,6,57,25,57,19,57,79,56,93,55,34,55,53,55,95,55,67,54,64,55,91,54,79,54,66,54,16,52,83,53,7,53,45,53,49,53,63,54,19,53,4,52,52,52,22,52,89,52,42,51,49,
    17 Girona,62,63,63,64,63,24,62,4,62,19,63,61,63,27,60,45,61,93,63,96,62,77,61,24,61,84,63,5,62,41,62,6,62,38,63,5,63,61,64,24,64,42,65,63,65,48,63,7,64,4,66,86,64,7,63,23,63,63,65,28,66,9,64,89,63,76,67,5,66,3,64,75,65,28,66,43,65,94,64,76,63,15,65,52,65,63,66,3,65,59,66,2,65,95,64,82,63,62,66,3,65,31,65,66,65,55,66,15,65,8,64,35,64,25,67,17,64,62,65,31,65,59,67,7,66,4,63,41,63,64,64,2,62,68,62,28,60,94,61,95,61,98,59,33,9,47,8,1,10,46,13,39,10,8,8,94,11,8,14,5,13,61,12,8,13,13,17,3,15,51,14,61,16,95,17,49,19,73,18,5,19,21,21,9,22,41,20,32,22,45,24,94,23,69,21,17,22,42,24,66,23,81,21,62,25,47,25,93,23,2,20,94,21,3,21,64,18,45,15,4,17,74,20,2,18,88,16,56,17,5,19,8,13,86,10,45,9,71,9,82,9,6,6,69,6,98,9,12,6,92,5,46,5,68,7,45,6,68,6,35,7,69,8,57,8,56,6,93,8,18,11,8,11,27,9,54,9,19,11,56,9,17,6,4,9,23,10,26,56,7,58,55,56,62,54,4,55,47,57,92,55,81,51,96,53,5,56,23,54,53,50,81,52,25,54,22,51,83,51,2,50,7,52,4,51,39,50,17,49,99,52,29,50,78,47,81,49,14,52,71,50,2,47,64,48,48,51,17,49,26,48,6,48,97,53,1,52,14,50,74,53,23,56,44,54,24,51,68,51,23,54,67,54,14,53,43,56,5,59,28,59,55,58,45,57,85,61,61,60,75,59,67,61,2,62,54,62,6,59,56,59,96,62,9,59,64,59,72,59,98,62,42,60,64,56,39,56,47,58,7,56,92,55,8,55,35,58,21,56,26,53,25,
    18 Granada,55,54,56,17,57,16,55,71,55,98,57,79,56,34,57,53,57,45,58,26,58,58,58,6,58,35,58,7,59,77,58,48,58,22,58,1,58,56,58,97,59,6,58,89,59,6,57,94,58,38,59,56,58,32,58,78,58,91,58,41,58,29,56,12,56,34,57,37,56,1,56,84,56,76,56,45,56,81,57,2,56,63,56,68,56,58,56,44,55,82,56,89,57,3,55,55,55,57,53,68,54,2,54,74,53,44,54,19,53,25,52,94,52,13,51,62,51,18,50,82,48,75,48,76,50,31,52,35,52,7,50,96,51,33,51,62,50,18,50,19,49,81,49,63,19,68,23,49,24,21,67,22,44,24,53,23,81,25,21,25,87,26,95,24,61,25,66,28,89,29,7,32,14,29,65,28,82,29,73,31,12,34,1,35,11,36,3,36,61,35,64,35,82,38,25,36,9,37,17,37,43,36,97,36,28,31,67,29,1,30,2,28,68,28,6,28,88,30,51,28,89,26,66,27,81,27,33,25,85,23,9,23,39,20,5,18,45,14,97,13,85,11,35,11,73,10,6,10,55,11,96,10,33,11,1,13,14,12,69,12,51,14,13,9,41,11,5,14,72,17,88,18,8,15,34,16,28,20,93,20,78,19,41,17,59,20,92,44,61,42,98,43,44,43,63,43,42,43,62,42,93,43,3,42,59,42,56,44,17,43,56,41,49,41,19,40,56,41,14,41,44,40,76,40,33,38,86,38,67,37,51,37,44,37,29,37,47,36,78,36,8,36,93,36,86,36,82,37,14,38,34,39,99,40,5,40,1,40,58,40,37,39,23,40,4,41,82,40,88,41,19,41,95,42,95,42,77,45,23,46,51,47,23,47,87,47,59,47,68,48,93,47,8,47,71,47,75,47,7,45,28,45,7,44,78,43,63,44,16,43,16,42,9,43,42,79,43,15,42,98,40,82,39,76,40,44,41,5,39,25,,,
    19 Guadalajara,66,25,66,54,67,9,66,64,67,85,67,3,65,72,64,63,64,68,63,66,64,64,45,65,71,64,51,65,23,65,43,66,65,66,68,64,93,66,18,65,84,65,13,65,7,64,3,62,62,62,82,65,56,65,66,66,32,65,48,65,79,63,9,63,33,62,3,63,5,63,46,62,43,63,94,62,92,62,96,62,60,88,61,28,62,88,62,34,59,39,60,84,60,96,59,28,59,34,60,28,58,61,60,12,59,3,59,8,59,12,59,56,59,4,58,89,58,49,56,99,57,23,55,87,56,14,54,85,53,88,53,2,53,1,52,41,51,66,51,53,51,14,13,37,12,4,11,55,11,26,11,69,10,19,10,99,12,92,10,48,12,47,15,43,17,25,17,85,18,26,17,24,17,8,19,29,19,9,18,6,20,2,23,46,21,83,24,76,23,1,21,26,20,77,23,28,24,93,24,92,22,81,23,77,19,5,21,7,17,79,21,16,18,25,19,53,16,1,15,16,18,2,13,45,13,17,15,25,13,78,11,83,7,44,8,9,6,86,6,14,3,26,5,45,5,16,6,62,7,19,6,63,6,21,7,1,5,15,8,73,7,2,6,69,6,65,8,66,10,26,8,66,7,56,9,54,9,23,9,71,7,72,8,49,9,67,57,39,58,29,60,6,59,13,59,92,60,2,58,49,56,28,57,9,55,72,54,13,53,33,53,98,52,73,53,98,53,78,53,79,53,95,52,85,52,81,50,39,50,91,49,43,49,51,49,31,49,77,50,3,49,29,49,79,50,54,50,15,51,7,49,99,50,99,50,7,51,88,50,24,53,65,53,38,51,62,53,66,52,87,51,93,54,22,54,96,54,97,55,43,56,78,55,64,57,4,57,55,58,56,14,54,78,55,16,55,45,55,38,56,34,53,75,54,38,53,18,53,42,51,3,50,38,50,1,49,81,48,12,48,12,47,32,47,67,47,15,46,19,,,,
